flood_id,dateTimeMin,dateTimeMax,dateTimeMed,maxWaterLevel,meanWaterLevel,flood_time_hours
113,2005-04-12T10:54:00Z,2005-04-12T13:24:00Z,2005-04-12T12:09:00Z,0.326,0.3138846153846154,2.5
114,2005-04-23T09:06:00Z,2005-04-23T10:18:00Z,2005-04-23T09:42:00Z,0.303,0.29515384615384616,1.2
115,2005-05-08T07:00:00Z,2005-05-08T11:36:00Z,2005-05-08T09:18:00Z,0.415,0.36746808510638296,4.6
116,2005-05-10T09:12:00Z,2005-05-10T13:36:00Z,2005-05-10T11:24:00Z,0.388,0.3522444444444444,4.4
117,2005-05-11T09:36:00Z,2005-05-11T14:30:00Z,2005-05-11T12:03:00Z,0.406,0.36360000000000003,4.9
118,2005-05-20T07:18:00Z,2005-05-20T09:30:00Z,2005-05-20T08:24:00Z,0.322,0.3099565217391304,2.2
119,2005-05-22T06:24:00Z,2005-05-22T11:00:00Z,2005-05-22T08:42:00Z,0.404,0.36108510638297875,4.6
121,2005-05-23T08:24:00Z,2005-05-23T10:42:00Z,2005-05-23T09:33:00Z,0.341,0.3202083333333333,2.3
122,2005-05-24T08:24:00Z,2005-05-24T12:36:00Z,2005-05-24T10:30:00Z,0.402,0.35767441860465116,4.2
123,2005-05-25T09:06:00Z,2005-05-25T13:30:00Z,2005-05-25T11:18:00Z,0.371,0.3406444444444444,4.4
124,2005-05-26T10:36:00Z,2005-05-26T14:00:00Z,2005-05-26T12:18:00Z,0.351,0.32645714285714283,3.4
125,2005-05-27T09:48:00Z,2005-05-27T16:00:00Z,2005-05-27T12:54:00Z,0.462,0.393031746031746,6.2
126,2005-06-21T08:00:00Z,2005-06-21T10:24:00Z,2005-06-21T09:12:00Z,0.33,0.31524,2.4
128,2005-07-02T05:42:00Z,2005-07-02T08:30:00Z,2005-07-02T07:06:00Z,0.344,0.3269310344827586,2.8
129,2005-07-08T08:42:00Z,2005-07-08T16:18:00Z,2005-07-08T12:30:00Z,0.554,0.44236363636363635,7.6
130,2005-07-14T03:24:00Z,2005-07-14T03:36:00Z,2005-07-14T03:30:00Z,0.3,0.29633333333333334,0.2
131,2005-08-17T06:00:00Z,2005-08-17T08:36:00Z,2005-08-17T07:18:00Z,0.339,0.32037037037037036,2.6
132,2005-08-18T07:54:00Z,2005-08-18T09:24:00Z,2005-08-18T08:39:00Z,0.306,0.2985625,1.5
133,2005-08-19T09:18:00Z,2005-08-19T09:54:00Z,2005-08-19T09:36:00Z,0.299,0.29514285714285715,0.6
